locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHGHJBNO_00041	CDS	1179	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
EHGHJBNO_00042	CDS	783	recO		COG1381	DNA repair protein RecO
EHGHJBNO_00043	CDS	1008	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
EHGHJBNO_00044	CDS	249	acpP			Acyl carrier protein
EHGHJBNO_00045	CDS	708	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
EHGHJBNO_00046	CDS	3720	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
EHGHJBNO_00047	CDS	1455	purF	2.4.2.14		Amidophosphoribosyltransferase
EHGHJBNO_00048	CDS	1023	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
EHGHJBNO_00049	CDS	552	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
EHGHJBNO_00050	CDS	696				hypothetical protein
EHGHJBNO_00051	CDS	1548	purH			Bifunctional purine biosynthesis protein PurH
EHGHJBNO_00052	CDS	1263	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
EHGHJBNO_00053	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
EHGHJBNO_00054	CDS	1080	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
EHGHJBNO_00055	CDS	672				hypothetical protein
EHGHJBNO_00056	CDS	1299	purB_1	4.3.2.2	COG0015	Adenylosuccinate lyase
EHGHJBNO_00057	CDS	858				hypothetical protein
EHGHJBNO_00058	CDS	501	purB_2	4.3.2.2	COG0015	Adenylosuccinate lyase
EHGHJBNO_00059	CDS	1278				hypothetical protein
EHGHJBNO_00060	CDS	297				IS200/IS605 family transposase ISDha13
EHGHJBNO_00061	CDS	93				hypothetical protein
EHGHJBNO_00062	CDS	90				hypothetical protein
EHGHJBNO_00063	CDS	90				hypothetical protein
EHGHJBNO_00064	CDS	729				hypothetical protein
EHGHJBNO_00065	CDS	579				hypothetical protein
EHGHJBNO_00066	CDS	429				hypothetical protein
EHGHJBNO_00067	CDS	873	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHGHJBNO_00068	CDS	771				hypothetical protein
EHGHJBNO_00069	CDS	1713	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
EHGHJBNO_00070	CDS	174				hypothetical protein
EHGHJBNO_00071	CDS	870	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
EHGHJBNO_00072	CDS	747	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
EHGHJBNO_00073	CDS	678	glnP_1		COG0765	Glutamine transport system permease protein GlnP
EHGHJBNO_00074	CDS	669	glnM_1		COG0765	putative glutamine ABC transporter permease protein GlnM
EHGHJBNO_00075	CDS	981	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
EHGHJBNO_00076	CDS	666				hypothetical protein
EHGHJBNO_00077	CDS	636	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
EHGHJBNO_00078	CDS	249				IS200/IS605 family transposase ISDha13
EHGHJBNO_00079	CDS	900				hypothetical protein
EHGHJBNO_00080	CDS	1221	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
EHGHJBNO_00081	CDS	1524				hypothetical protein
EHGHJBNO_00082	CDS	138				hypothetical protein
EHGHJBNO_00083	CDS	1938	mutL		COG0323	DNA mismatch repair protein MutL
EHGHJBNO_00084	CDS	591	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
EHGHJBNO_00085	CDS	570	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
EHGHJBNO_00086	CDS	1182	cinA		COG1058	Putative competence-damage inducible protein
EHGHJBNO_00087	CDS	1152	recA		COG0468	Protein RecA
EHGHJBNO_00088	CDS	399	spxA_1		COG1393	Regulatory protein Spx
EHGHJBNO_00089	CDS	267				hypothetical protein
EHGHJBNO_00090	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
EHGHJBNO_00091	CDS	321				hypothetical protein
EHGHJBNO_00092	CDS	636				hypothetical protein
EHGHJBNO_00093	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
EHGHJBNO_00094	CDS	627	rplC		COG0087	50S ribosomal protein L3
EHGHJBNO_00095	CDS	624	rplD		COG0088	50S ribosomal protein L4
EHGHJBNO_00096	CDS	300	rplW			50S ribosomal protein L23
EHGHJBNO_00097	CDS	834	rplB		COG0090	50S ribosomal protein L2
EHGHJBNO_00098	CDS	282	rpsS		COG0185	30S ribosomal protein S19
EHGHJBNO_00099	CDS	345	rplV		COG0091	50S ribosomal protein L22
EHGHJBNO_00100	CDS	654	rpsC		COG0092	30S ribosomal protein S3
EHGHJBNO_00101	CDS	414	rplP		COG0197	50S ribosomal protein L16
EHGHJBNO_00102	CDS	207	rpmC		COG0255	50S ribosomal protein L29
EHGHJBNO_00103	CDS	261	rpsQ		COG0186	30S ribosomal protein S17
EHGHJBNO_00104	CDS	369	rplN		COG0093	50S ribosomal protein L14
EHGHJBNO_00105	CDS	306	rplX		COG0198	50S ribosomal protein L24
EHGHJBNO_00106	CDS	543	rplE		COG0094	50S ribosomal protein L5
EHGHJBNO_00107	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
EHGHJBNO_00108	CDS	399	rpsH			30S ribosomal protein S8
EHGHJBNO_00109	CDS	537	rplF		COG0097	50S ribosomal protein L6
EHGHJBNO_00110	CDS	357	rplR		COG0256	50S ribosomal protein L18
EHGHJBNO_00111	CDS	495	rpsE			30S ribosomal protein S5
EHGHJBNO_00112	CDS	183	rpmD		COG1841	50S ribosomal protein L30
EHGHJBNO_00113	CDS	441	rplO			50S ribosomal protein L15
EHGHJBNO_00114	CDS	1311	secY_1			Protein translocase subunit SecY
EHGHJBNO_00115	CDS	642	adk	2.7.4.3	COG0563	Adenylate kinase
EHGHJBNO_00116	CDS	219	infA		COG0361	Translation initiation factor IF-1
EHGHJBNO_00117	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
EHGHJBNO_00118	CDS	366	rpsM		COG0099	30S ribosomal protein S13
EHGHJBNO_00119	CDS	384	rpsK			30S ribosomal protein S11
EHGHJBNO_00120	CDS	939	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
EHGHJBNO_00121	CDS	387	rplQ		COG0203	50S ribosomal protein L17
EHGHJBNO_00122	CDS	972				hypothetical protein
EHGHJBNO_00123	rRNA	1545				16S ribosomal RNA
EHGHJBNO_00124	tRNA	75				tRNA-Ala(tgc)
EHGHJBNO_00125	rRNA	2901				23S ribosomal RNA
EHGHJBNO_00126	rRNA	109				5S ribosomal RNA
EHGHJBNO_00127	tRNA	75				tRNA-Val(tac)
EHGHJBNO_00128	tRNA	73				tRNA-Gly(tcc)
EHGHJBNO_00129	tRNA	76				tRNA-Ile(gat)
EHGHJBNO_00130	tRNA	74				tRNA-Glu(ttc)
EHGHJBNO_00131	tRNA	90				tRNA-Ser(tga)
EHGHJBNO_00132	tRNA	76				tRNA-Met(cat)
EHGHJBNO_00133	tRNA	75				tRNA-Phe(gaa)
EHGHJBNO_00134	tRNA	81				tRNA-Tyr(gta)
EHGHJBNO_00135	tRNA	73				tRNA-Trp(cca)
EHGHJBNO_00136	tRNA	75				tRNA-His(gtg)
EHGHJBNO_00137	tRNA	74				tRNA-Gln(ttg)
EHGHJBNO_00138	tRNA	86				tRNA-Leu(caa)
EHGHJBNO_00139	CDS	3111	smc_1			Chromosome partition protein Smc
EHGHJBNO_00140	CDS	774				hypothetical protein
EHGHJBNO_00141	CDS	162				hypothetical protein
EHGHJBNO_00142	CDS	192				hypothetical protein
EHGHJBNO_00143	CDS	444	adcR			Transcriptional regulator AdcR
EHGHJBNO_00144	CDS	705	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
EHGHJBNO_00145	CDS	813	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
EHGHJBNO_00146	CDS	1509				hypothetical protein
EHGHJBNO_00147	CDS	471	copY_1			Transcriptional repressor CopY
EHGHJBNO_00148	CDS	210				hypothetical protein
EHGHJBNO_00149	CDS	378				hypothetical protein
EHGHJBNO_00150	CDS	1257	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EHGHJBNO_00151	CDS	2424	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
EHGHJBNO_00152	CDS	3573	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
EHGHJBNO_00153	CDS	3621	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
EHGHJBNO_00154	CDS	375				hypothetical protein
EHGHJBNO_00155	CDS	951	mccF			Microcin C7 self-immunity protein MccF
EHGHJBNO_00156	CDS	678	comGA		COG2804	ComG operon protein 1
EHGHJBNO_00157	CDS	1440				hypothetical protein
EHGHJBNO_00158	CDS	570				hypothetical protein
EHGHJBNO_00159	CDS	795	lexA_1	3.4.21.88		LexA repressor
EHGHJBNO_00160	CDS	225				hypothetical protein
EHGHJBNO_00161	CDS	174				hypothetical protein
EHGHJBNO_00162	CDS	147				hypothetical protein
EHGHJBNO_00163	CDS	318				hypothetical protein
EHGHJBNO_00164	CDS	576				hypothetical protein
EHGHJBNO_00165	CDS	699				hypothetical protein
EHGHJBNO_00166	CDS	327				hypothetical protein
EHGHJBNO_00167	CDS	1062				hypothetical protein
EHGHJBNO_00168	CDS	522				hypothetical protein
EHGHJBNO_00169	CDS	201				hypothetical protein
EHGHJBNO_00170	CDS	513	ssb_1		COG0629	Single-stranded DNA-binding protein
EHGHJBNO_00171	CDS	279				hypothetical protein
EHGHJBNO_00172	CDS	789				hypothetical protein
EHGHJBNO_00173	CDS	204				hypothetical protein
EHGHJBNO_00174	CDS	435				hypothetical protein
EHGHJBNO_00175	CDS	438				hypothetical protein
EHGHJBNO_00176	CDS	738				hypothetical protein
EHGHJBNO_00177	CDS	387				hypothetical protein
EHGHJBNO_00178	CDS	123				hypothetical protein
EHGHJBNO_00179	CDS	303				hypothetical protein
EHGHJBNO_00180	CDS	177				hypothetical protein
EHGHJBNO_00181	CDS	231				hypothetical protein
EHGHJBNO_00182	CDS	420				hypothetical protein
EHGHJBNO_00183	CDS	393				hypothetical protein
EHGHJBNO_00184	CDS	381				hypothetical protein
EHGHJBNO_00185	CDS	672				hypothetical protein
EHGHJBNO_00186	CDS	411				hypothetical protein
EHGHJBNO_00187	CDS	480				hypothetical protein
EHGHJBNO_00188	CDS	1314				hypothetical protein
EHGHJBNO_00189	CDS	1584				hypothetical protein
EHGHJBNO_00190	CDS	1152				hypothetical protein
EHGHJBNO_00191	CDS	618				hypothetical protein
EHGHJBNO_00192	CDS	840				hypothetical protein
EHGHJBNO_00193	CDS	186				hypothetical protein
EHGHJBNO_00194	CDS	228				hypothetical protein
EHGHJBNO_00195	CDS	396				hypothetical protein
EHGHJBNO_00196	CDS	327				hypothetical protein
EHGHJBNO_00197	CDS	351				hypothetical protein
EHGHJBNO_00198	CDS	408				hypothetical protein
EHGHJBNO_00199	CDS	459				hypothetical protein
EHGHJBNO_00200	CDS	369				hypothetical protein
EHGHJBNO_00201	CDS	588				hypothetical protein
EHGHJBNO_00202	CDS	3288				hypothetical protein
EHGHJBNO_00203	CDS	1503				hypothetical protein
EHGHJBNO_00204	CDS	3810				hypothetical protein
EHGHJBNO_00205	CDS	2064				hypothetical protein
EHGHJBNO_00206	CDS	264				hypothetical protein
EHGHJBNO_00207	CDS	456				hypothetical protein
EHGHJBNO_00208	CDS	204				hypothetical protein
EHGHJBNO_00209	CDS	117				hypothetical protein
EHGHJBNO_00210	CDS	711				hypothetical protein
EHGHJBNO_00211	CDS	186				hypothetical protein
EHGHJBNO_00212	CDS	327				hypothetical protein
EHGHJBNO_00213	CDS	966				hypothetical protein
EHGHJBNO_00214	CDS	282				hypothetical protein
EHGHJBNO_00215	CDS	408				hypothetical protein
EHGHJBNO_00216	CDS	255				hypothetical protein
EHGHJBNO_00217	CDS	435				hypothetical protein
EHGHJBNO_00218	CDS	411				hypothetical protein
EHGHJBNO_00219	CDS	954				hypothetical protein
EHGHJBNO_00220	CDS	1188	ackA	2.7.2.1	COG0282	Acetate kinase
EHGHJBNO_00221	CDS	552	folT			Folate transporter FolT
EHGHJBNO_00222	CDS	1257	fpgS_2	6.3.2.17		Folylpolyglutamate synthase
EHGHJBNO_00223	CDS	1062	pepA_1	3.4.11.7	COG1363	Glutamyl aminopeptidase
EHGHJBNO_00224	CDS	285				hypothetical protein
EHGHJBNO_00225	CDS	321				hypothetical protein
EHGHJBNO_00226	CDS	957	ypuA		COG4086	putative protein YpuA
EHGHJBNO_00227	CDS	624				hypothetical protein
EHGHJBNO_00228	CDS	777				hypothetical protein
EHGHJBNO_00229	CDS	396	ssb_2		COG0629	Single-stranded DNA-binding protein
EHGHJBNO_00230	CDS	126				hypothetical protein
EHGHJBNO_00231	CDS	282	groS		COG0234	10 kDa chaperonin
EHGHJBNO_00232	CDS	1623	groL		COG0459	60 kDa chaperonin
EHGHJBNO_00233	CDS	414	rpsL		COG0048	30S ribosomal protein S12
EHGHJBNO_00234	CDS	471	rpsG		COG0049	30S ribosomal protein S7
EHGHJBNO_00235	CDS	2082	fus			Elongation factor G
EHGHJBNO_00236	CDS	1011	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
EHGHJBNO_00237	CDS	1200	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
EHGHJBNO_00238	CDS	513				hypothetical protein
EHGHJBNO_00239	CDS	372	glnR		COG0789	HTH-type transcriptional regulator GlnR
EHGHJBNO_00240	CDS	1347	glnA	6.3.1.2		Glutamine synthetase
EHGHJBNO_00241	CDS	1680	rnj1	3.1.-.-		Ribonuclease J 1
EHGHJBNO_00242	CDS	231				hypothetical protein
EHGHJBNO_00243	CDS	684	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
EHGHJBNO_00244	CDS	441				hypothetical protein
EHGHJBNO_00245	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
EHGHJBNO_00246	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
EHGHJBNO_00247	CDS	1275				hypothetical protein
EHGHJBNO_00248	CDS	894	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
EHGHJBNO_00249	CDS	831	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
EHGHJBNO_00250	CDS	2202	agaA_1	3.2.1.22		Alpha-galactosidase AgaA
EHGHJBNO_00251	CDS	702	ygaZ		COG1296	Inner membrane protein YgaZ
EHGHJBNO_00252	CDS	324				hypothetical protein
EHGHJBNO_00253	CDS	1023				hypothetical protein
EHGHJBNO_00254	CDS	1632				hypothetical protein
EHGHJBNO_00255	CDS	699	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
EHGHJBNO_00256	CDS	1176			COG2081	putative protein
EHGHJBNO_00257	CDS	1401	gmuD	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
EHGHJBNO_00258	CDS	495				putative protein
EHGHJBNO_00259	CDS	2043				hypothetical protein
EHGHJBNO_00260	CDS	285				hypothetical protein
EHGHJBNO_00261	CDS	1347	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
EHGHJBNO_00262	CDS	849	aptA	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
EHGHJBNO_00263	CDS	927	aptB	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
EHGHJBNO_00264	CDS	1767				hypothetical protein
EHGHJBNO_00265	CDS	300			COG0718	Nucleoid-associated protein
EHGHJBNO_00266	CDS	1164	agaS	3.5.99.-	COG2222	D-galactosamine-6-phosphate deaminase AgaS
EHGHJBNO_00267	CDS	1203				IS110 family transposase ISSsu7
EHGHJBNO_00268	CDS	2511				hypothetical protein
EHGHJBNO_00269	CDS	2268	pepX	3.4.14.11		Xaa-Pro dipeptidyl-peptidase
EHGHJBNO_00270	CDS	735				hypothetical protein
EHGHJBNO_00271	CDS	942	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
EHGHJBNO_00272	CDS	552				hypothetical protein
EHGHJBNO_00273	CDS	792		3.5.1.28	COG1388	putative autolysin SsaALP
EHGHJBNO_00274	CDS	2346	pflB	2.3.1.54		Formate acetyltransferase
EHGHJBNO_00275	CDS	1068	dinB	2.7.7.7	COG0389	DNA polymerase IV
EHGHJBNO_00276	CDS	420	ywnA_1		COG1959	Putative HTH-type transcriptional regulator YwnA
EHGHJBNO_00277	CDS	627				hypothetical protein
EHGHJBNO_00278	CDS	921	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
EHGHJBNO_00279	CDS	639	nth	4.2.99.18		Endonuclease III
EHGHJBNO_00280	CDS	2490	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
EHGHJBNO_00281	CDS	630	spsB_1	3.4.21.89		Signal peptidase IB
EHGHJBNO_00282	CDS	891	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
EHGHJBNO_00283	CDS	984	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
EHGHJBNO_00284	CDS	1173				hypothetical protein
EHGHJBNO_00285	CDS	1626	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
EHGHJBNO_00286	CDS	1989				hypothetical protein
EHGHJBNO_00287	CDS	714	treR_1		COG2188	HTH-type transcriptional regulator TreR
EHGHJBNO_00288	CDS	312				hypothetical protein
EHGHJBNO_00289	CDS	549				hypothetical protein
EHGHJBNO_00290	CDS	2334	mutS2	3.1.-.-		Endonuclease MutS2
EHGHJBNO_00291	CDS	654	ypeA	2.3.1.-		Acetyltransferase YpeA
EHGHJBNO_00292	CDS	315	trxA		COG0526	Thioredoxin
EHGHJBNO_00293	CDS	1530	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
EHGHJBNO_00294	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
EHGHJBNO_00295	CDS	864				hypothetical protein
EHGHJBNO_00296	CDS	1854				hypothetical protein
EHGHJBNO_00297	CDS	1983				hypothetical protein
EHGHJBNO_00298	CDS	633	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
EHGHJBNO_00299	CDS	1335	alsT		COG1115	Amino-acid carrier protein AlsT
EHGHJBNO_00300	CDS	849	ykuT		COG0668	putative MscS family protein YkuT
EHGHJBNO_00301	CDS	588				hypothetical protein
EHGHJBNO_00302	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
EHGHJBNO_00303	CDS	2640	smc_2			Chromosome partition protein Smc
EHGHJBNO_00304	CDS	939	pyrDA	1.3.98.1	COG0167	putative dihydroorotate dehydrogenase A (fumarate)
EHGHJBNO_00305	CDS	1233				hypothetical protein
EHGHJBNO_00306	CDS	831	ybjI_1	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
EHGHJBNO_00307	CDS	783				hypothetical protein
EHGHJBNO_00308	CDS	780				hypothetical protein
EHGHJBNO_00309	CDS	984	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHGHJBNO_00310	CDS	534				hypothetical protein
EHGHJBNO_00311	CDS	2460				hypothetical protein
EHGHJBNO_00312	CDS	1065				hypothetical protein
EHGHJBNO_00313	CDS	756				hypothetical protein
EHGHJBNO_00314	CDS	327				hypothetical protein
EHGHJBNO_00315	CDS	381	lrgA		COG1380	Antiholin-like protein LrgA
EHGHJBNO_00316	CDS	696	yohK		COG1346	Inner membrane protein YohK
EHGHJBNO_00317	CDS	801	nirC		COG2116	Nitrite transporter NirC
EHGHJBNO_00318	CDS	846	gla		COG0580	Glycerol facilitator-aquaporin gla
EHGHJBNO_00319	CDS	1533				hypothetical protein
EHGHJBNO_00320	CDS	615	nudL	3.6.1.-		putative Nudix hydrolase NudL
EHGHJBNO_00321	CDS	669	aqpZ2			Aquaporin Z 2
EHGHJBNO_00322	CDS	477	pezA		COG1396	Antitoxin PezA
EHGHJBNO_00323	CDS	783	pezT	2.7.1.176		Toxin PezT
EHGHJBNO_00324	CDS	927				hypothetical protein
EHGHJBNO_00325	CDS	195				hypothetical protein
EHGHJBNO_00326	CDS	768	lacR_1			Lactose phosphotransferase system repressor
EHGHJBNO_00327	CDS	423	lacA	5.3.1.26		Galactose-6-phosphate isomerase subunit LacA
EHGHJBNO_00328	CDS	516	lacB	5.3.1.26		Galactose-6-phosphate isomerase subunit LacB
EHGHJBNO_00329	CDS	933	lacC_2	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
EHGHJBNO_00330	CDS	978	lacD2_1	4.1.2.40	COG3684	Tagatose 1,6-diphosphate aldolase 2
EHGHJBNO_00331	CDS	834	licT_1		COG3711	Transcription antiterminator LicT
EHGHJBNO_00332	CDS	318	lacF		COG1447	PTS system lactose-specific EIIA component
EHGHJBNO_00333	CDS	1680	lacE			PTS system lactose-specific EIICB component
EHGHJBNO_00334	CDS	1407	lacG	3.2.1.85		6-phospho-beta-galactosidase
EHGHJBNO_00335	CDS	900	lacX			Protein LacX, plasmid
EHGHJBNO_00336	CDS	546				hypothetical protein
EHGHJBNO_00337	CDS	741				hypothetical protein
EHGHJBNO_00338	CDS	150	rpmGA			50S ribosomal protein L33 1
EHGHJBNO_00339	CDS	183	rpmF		COG0333	50S ribosomal protein L32
EHGHJBNO_00340	CDS	1284	hisS	6.1.1.21		Histidine--tRNA ligase
EHGHJBNO_00341	CDS	1026	adhA	1.1.1.1		Alcohol dehydrogenase 1
EHGHJBNO_00342	CDS	2652	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
EHGHJBNO_00343	CDS	1485	thrC	4.2.3.1	COG0498	Threonine synthase
EHGHJBNO_00344	CDS	1761	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHGHJBNO_00345	CDS	1662			COG1132	putative ABC transporter ATP-binding/permease protein
EHGHJBNO_00346	CDS	594				hypothetical protein
EHGHJBNO_00347	CDS	660	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
EHGHJBNO_00348	CDS	1428	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
EHGHJBNO_00349	CDS	1278	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
EHGHJBNO_00350	CDS	123				hypothetical protein
EHGHJBNO_00351	CDS	960	ramC	2.7.-.-	COG0515	putative SapB synthase
EHGHJBNO_00352	CDS	306				hypothetical protein
EHGHJBNO_00353	CDS	1617	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHGHJBNO_00354	CDS	876				hypothetical protein
EHGHJBNO_00355	CDS	90				hypothetical protein
EHGHJBNO_00356	CDS	936	galK_1	2.7.1.6		Galactokinase
EHGHJBNO_00357	CDS	1026				hypothetical protein
EHGHJBNO_00358	CDS	1080		2.7.4.2		Phosphomevalonate kinase
EHGHJBNO_00359	CDS	1098	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
EHGHJBNO_00360	CDS	267				hypothetical protein
EHGHJBNO_00361	CDS	1338				hypothetical protein
EHGHJBNO_00362	CDS	696	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EHGHJBNO_00363	CDS	693				hypothetical protein
EHGHJBNO_00364	CDS	897	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EHGHJBNO_00365	CDS	861				hypothetical protein
EHGHJBNO_00366	CDS	264				hypothetical protein
EHGHJBNO_00367	CDS	1035	hrcA		COG1420	Heat-inducible transcription repressor HrcA
EHGHJBNO_00368	CDS	513	grpE		COG0576	Protein GrpE
EHGHJBNO_00369	CDS	432	bltD_1	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
EHGHJBNO_00370	CDS	1824	dnaK			Chaperone protein DnaK
EHGHJBNO_00371	CDS	1137	dnaJ		COG0484	Chaperone protein DnaJ
EHGHJBNO_00372	CDS	522				hypothetical protein
EHGHJBNO_00373	CDS	1521				hypothetical protein
EHGHJBNO_00374	CDS	1446	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
EHGHJBNO_00375	CDS	876	yckB		COG0834	putative ABC transporter extracellular-binding protein YckB
EHGHJBNO_00376	CDS	672	yecS_1		COG0765	L-cystine transport system permease protein YecS
EHGHJBNO_00377	CDS	213				hypothetical protein
EHGHJBNO_00378	CDS	525				hypothetical protein
EHGHJBNO_00379	CDS	1869	zosA	3.6.3.-	COG2217	Zinc-transporting ATPase
